"basic","country","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"land","United Arab Emirates","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,592","4,574","5,396","5,091","5,624","7,107","1,842","0"
"total","United Kingdom","23,537","25,163","25,515","25,745","25,394","25,209","22,835","24,180","24,715","27,755","29,970","32,713","32,778","31,888","31,072","30,398","31,886","32,221","33,567","35,337","36,792","39,129","41,080","40,283","40,857","0","0"
"air","United Kingdom","15,754","16,279","16,858","17,479","17,284","17,831","16,054","17,098","17,635","20,002","22,043","24,588","25,089","24,024","23,239","22,162","23,741","23,880","24,787","26,137","27,262","29,453","31,880","31,512","32,137","0","0"
"water","United Kingdom","5,998","6,176","5,746","5,098","4,993","4,298","4,002","4,405","4,369","4,770","4,675","4,858","4,459","4,495","4,463","4,404","4,389","4,125","4,302","4,731","4,892","4,907","4,666","4,514","4,460","0","0"
"land","United Kingdom","1,785","2,708","2,911","3,168","3,117","3,080","2,779","2,677","2,711","2,983","3,252","3,267","3,230","3,369","3,370","3,832","3,756","4,216","4,478","4,470","4,638","4,769","4,534","4,258","4,260","0","0"
"total","United States","43,490","46,636","47,875","46,369","48,155","50,895","46,555","43,198","40,793","45,580","48,860","50,646","55,737","57,651","54,755","60,010","63,477","66,967","71,643","75,379","77,774","76,407","77,187","79,746","79,442","19,212","22,100"
"air","United States","24,668","27,558","29,393","29,018","30,219","32,388","27,399","24,240","23,078","25,824","27,673","27,806","30,347","32,035","30,016","33,171","35,978","37,752","41,680","43,807","47,667","46,941","48,734","50,695","50,253","10,933","13,736"
"water","United States","372","432","452","461","460","482","451","386","375","417","420","453","503","460","427","416","411","450","578","598","565","553","532","561","537","58","75"
"land","United States","18,450","18,646","18,030","16,890","17,476","18,025","18,705","18,572","17,340","19,340","20,767","22,388","24,887","25,156","24,311","26,424","27,088","28,765","29,385","30,974","29,542","28,913","27,921","28,489","28,652","8,222","8,290"
"total","Viet Nam","1,351","1,607","1,715","1,520","1,782","2,140","2,330","2,628","2,429","2,928","3,477","3,583","4,229","4,236","3,747","5,050","6,014","6,848","7,572","7,874","7,944","10,013","12,922","15,498","18,009","3,837","157"
"air","Viet Nam","1,207","940","1,034","874","1,022","1,113","1,294","1,540","1,395","1,822","2,335","2,702","3,301","3,283","3,025","4,062","5,032","5,576","5,980","6,220","6,271","8,261","10,910","12,485","14,378","3,083","111"
"water","Viet Nam","21","162","131","157","188","256","285","309","241","263","200","224","225","152","66","50","46","286","193","48","170","285","259","215","264","145","1"
"land","Viet Nam","123","505","550","489","572","771","751","779","793","843","942","657","703","801","656","938","936","986","1,399","1,606","1,503","1,467","1,753","2,798","3,367","609","46"
"total","Zambia","163","264","341","362","404","458","492","565","413","515","668","757","897","812","710","815","920","859","915","947","932","956","1,009","1,072","1,266","502","554"
"air","Zambia","41","31","36","42","46","57","62","71","104","137","164","227","281","236","191","249","297","252","241","262","273","286","294","319","327","89","106"
"water","Zambia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","4","3","7","7","5","6","3","7"
"land","Zambia","122","233","305","320","358","401","430","494","309","378","504","530","616","576","519","566","623","599","666","680","656","664","708","749","934","410","442"
"total","Zimbabwe","0","0","0","2,087","2,250","1,967","2,763","2,078","2,356","1,854","1,558","2,287","2,506","1,955","2,017","2,239","2,423","1,794","1,833","1,880","2,057","2,168","2,423","2,580","2,294","639","381"
"air","Zimbabwe","0","0","0","324","504","463","452","340","340","330","327","275","982","429","573","326","350","228","223","198","281","239","310","337","321","77","147"
"water","Zimbabwe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"land","Zimbabwe","0","0","0","1,763","1,746","1,504","2,311","1,738","2,016","1,524","1,231","2,012","1,524","1,526","1,444","1,913","2,073","1,566","1,610","1,682","1,776","1,929","2,113","2,243","1,973","562","233"
