Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,Water,Thousands,..,..,..,17,17,18,21,22,25,28,29,32,560,407,520,183,67,257,319,624,786,329,104,105,107,24,25,
,,Land,Thousands,..,..,..,67,70,73,86,99,112,125,131,144,1539,1795,1871,2812,1195,2103,1280,1480,1922,3371,3627,3678,3753,847,873,
NIUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including Niueans residing usually in New Zealand.
,Total,,Thousands,"2,2","1,5","1,8","1,7","1,9","1,9","1,4","2,1","2,7","2,6","2,8",3,"3,5","4,7","4,7","6,2",..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,"2,2","1,5","1,8","1,7","1,9","1,9","1,4","2,1","2,7","2,6","2,8",3,"3,3","4,7","4,7","3,8",..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,"0,2",..,..,"2,4",..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
NORTH MACEDONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
NORTHERN MARIANA ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,676,736,695,490,501,529,444,476,459,536,507,436,389,397,354,379,341,401,439,460,479,531,660,518,487,89,..,
,,Air,Thousands,669,728,685,481,493,517,438,466,452,525,498,429,385,388,345,375,336,399,436,455,475,526,656,516,484,87,..,
,,Water,Thousands,7,8,10,9,8,12,6,10,7,11,9,7,4,9,9,4,5,2,3,5,3,5,4,1,3,2,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
NORWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals of non-resident tourists at national borders. Figures are based on ""The Guest survey"" carried out by ""Institute of Transport Economics"". The survey has been discontinued since 2012."
,Total,,Thousands,..,..,..,3256,3223,3104,3073,3111,3269,3629,3824,4071,4378,4348,4347,4766,4964,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,998,1037,1006,998,1011,1170,1414,1588,1756,1916,1901,1798,2008,2137,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,700,673,673,655,690,698,694,709,750,808,731,748,824,827,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,1558,1513,1425,1420,1410,1401,1521,1527,1565,1654,1716,1801,1934,2000,..,..,..,..,..,..,..,..,..,..,
OMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
PAKISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,378,369,375,429,432,557,500,498,501,648,798,898,840,823,855,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,328,317,313,354,354,475,407,408,385,536,682,763,732,718,679,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,1,..,1,2,3,..,..,..,..,..,..,..,..,37,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,50,51,62,74,76,79,93,90,116,112,116,135,108,105,139,..,..,..,..,..,..,..,..,..,..,..,..,
PALAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Air arrivals (Palau International Airport).
,Total,,Thousands,53,69,74,64,55,58,54,59,63,89,81,82,88,81,71,85,111,120,108,140,162,138,123,106,94,18,..,
,,Air,Thousands,53,69,74,64,55,58,54,59,63,89,81,82,88,81,71,85,111,120,108,140,162,138,123,106,94,18,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
PANAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals of non-resident visitors, Tocúmen International Airport (TIA), Paso Canoa frontier (PCF) and the ports of Cristóbal and Balboa (PCB)."
,Total,,Thousands,345,362,402,410,456,484,518,532,565,621,702,843,1103,1246,1200,1324,1473,1606,1658,2305,2553,2379,2518,2487,2494,647,804,
,,Air,Thousands,300,308,344,343,359,375,392,409,450,476,546,671,912,1044,1007,1096,1209,1349,1392,1656,2016,1902,1866,1856,1848,416,665,
,,Water,Thousands,6,6,7,8,9,9,13,15,10,23,21,21,13,..,..,..,..,..,..,405,297,251,445,418,436,194,91,
,,Land,Thousands,39,48,51,59,88,100,113,108,105,122,135,151,178,202,193,228,264,257,266,244,239,226,207,214,210,38,48,
PAPUA NEW GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,42,..,..,..,67,58,54,54,56,59,69,78,104,120,126,146,165,175,182,191,199,198,182,195,211,39,..,
,,Air,Thousands,40,..,..,..,63,58,54,54,56,59,69,78,104,114,121,140,158,168,174,182,183,179,139,140,160,39,..,
,,Water,Thousands,2,..,..,..,4,..,..,..,..,..,..,..,..,6,5,6,7,7,8,9,16,19,43,55,51,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
PARAGUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding nationals residing abroad and crew members.
2000: inbound and outbound tourism survey - Central Bank of Paraguay.
From 2001 E/D cards in the ""Silvio Petirossi"" airport and passenger counts at the national border crossings - National Police and SENATUR.
2/ River."
,Total,,Thousands,438,425,395,350,269,288,279,250,268,310,341,388,416,429,439,465,524,579,610,649,1215,1308,1584,1181,1216,252,..,
,,Air,Thousands,168,168,208,189,121,64,77,68,68,85,99,102,129,143,135,126,173,213,210,246,233,222,194,205,228,46,..,
,,Water,Thousands,19,19,17,12,12,..,7,6,5,8,10,10,22,25,21,16,24,29,31,18,52,204,342,130,121,26,..,
,,Land,Thousands,251,238,170,149,136,224,195,176,195,217,232,276,265,261,283,323,327,337,369,385,930,883,1048,846,867,181,..,
PERU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2002, new estimated series including tourists with identity document other than a passport. Including nationals residing abroad.
2/ Including arrivals by river and lake."
,Total,,Thousands,479,584,650,770,727,814,900,998,1070,1350,1570,1720,1916,2057,2140,2299,2598,2846,3164,3215,3456,3744,4032,4419,4372,897,444,
,,Air,Thousands,356,425,459,552,543,599,547,589,618,803,950,970,1132,1292,1344,1378,1563,1717,1935,1925,2034,2185,2380,2586,2737,530,444,
,,Water,Thousands,5,5,6,5,14,6,6,7,7,10,11,20,25,25,33,24,24,22,19,32,31,31,32,32,20,11,..,
,,Land,Thousands,118,154,185,213,170,209,347,402,445,537,609,730,759,740,763,897,1011,1107,1210,1257,1391,1528,1621,1802,1615,355,..,
PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.
,Total,,Thousands,1760,2049,2223,2149,2171,1992,1797,1933,1907,2291,2623,2843,3092,3140,3017,3520,3917,4273,4681,4833,5361,5967,6621,7168,8261,1483,164,
,,Air,Thousands,1740,2019,2178,2092,2129,1964,1770,1905,1880,2260,2586,2807,3042,3085,2960,3461,3884,4238,4637,4773,5291,5895,6507,6940,8099,1457,164,
,,Water,Thousands,20,30,45,57,42,28,27,28,27,31,37,36,50,55,57,59,33,35,44,60,70,72,114,228,162,25,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
POLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data until 2012 are based on surveys by the Institute of Tourism. 2013: Activ Group; From 2014 Central Statistical Office.
,Total,,Thousands,82244,87435,87817,88592,89118,84515,61431,50735,52130,61918,64605,65115,66208,59935,53840,58340,60745,67390,72310,73750,77734,80476,83804,85946,88515,51076,..,
,,Air,Thousands,705,772,927,1011,1069,1161,1174,1126,1182,1539,2004,2432,2884,2800,2650,3200,3650,4040,4338,4425,4655,4829,5028,5157,5311,3065,..,
,,Water,Thousands,482,551,1280,1574,1656,1764,1468,1433,1627,859,404,368,371,350,320,325,310,370,361,368,389,402,419,430,442,255,..,
,,Land,Thousands,81057,86112,85610,86007,86393,81590,58789,48176,49321,59520,62197,62315,62953,56785,50870,54815,56785,62980,67611,68957,72690,75245,78357,80359,82762,47756,..,
PORTUGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Due to a change in the methodology, from 2004 the data are not comparable with those of previous years. 1995-2003: excluding nationals residing abroad. 2004-2006: including national residing abroad."
,Total,,Thousands,23066,23252,24244,26561,27015,28014,28149,27195,27532,21164,21174,22588,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,4122,4116,4344,4752,4947,5238,5259,5073,5162,5938,6137,6734,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,239,242,251,260,293,272,188,187,317,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,18705,18894,19649,21549,21775,22504,22702,21935,22053,15226,15037,15854,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
PUERTO RICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data: Fiscal years (July-June).
,Total,,Thousands,4087,4110,4350,4671,4221,4566,4908,4363,4402,4889,5073,5022,5062,5213,4415,4380,4214,4197,4210,4456,5051,5003,4927,4260,4931,3882,..,
,,Air,Thousands,3131,3065,3242,3396,3024,3341,3551,3087,3238,3541,3686,3722,3687,3716,3183,3186,3048,3069,3172,3246,3542,3736,3513,3068,3180,2617,..,
,,Water,Thousands,956,1045,1108,1275,1197,1225,1357,1276,1164,1348,1387,1300,1375,1497,1232,1194,1166,1128,1038,1210,1509,1267,1414,1192,1751,1265,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
QATAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1482,1700,2057,2324,2612,2839,2941,2938,2257,1819,2137,582,611,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,851,1011,1182,1357,1515,1683,1771,1813,1673,1716,1940,450,443,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,4,12,14,19,19,19,29,59,104,197,132,34,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,625,685,863,953,1079,1138,1151,1096,525,..,..,..,135,
REUNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air only. Survey on Tourism Flows. Survey until 2015: INSEE. Source from 2016: IRT (Île de la Réunion Tourisme).
,Total,,Thousands,304,350,374,400,394,430,424,426,432,430,409,279,381,396,422,420,471,447,416,406,426,458,508,535,534,217,251,
,,Air,Thousands,304,350,374,400,394,430,424,426,432,430,409,279,381,396,422,420,471,447,416,406,426,458,508,535,534,217,251,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ROMANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,5445,5205,5150,4832,5223,5264,4937,4794,5594,6599,5840,6037,7722,8862,7575,7498,7611,7937,8019,8442,9331,10223,10926,11720,12815,5023,6789,
,,Air,Thousands,433,479,533,553,566,655,705,689,752,704,919,1122,1460,1462,1277,1215,1509,1469,1347,1690,1535,2257,2648,2797,2937,730,1152,
,,Water,Thousands,175,161,171,160,141,141,135,137,152,186,187,209,234,262,164,154,168,187,196,189,178,167,161,162,185,99,218,
,,Land,Thousands,4837,4565,4446,4119,4516,4468,4097,3968,4690,5709,4734,4706,6028,7138,6134,6129,5934,6281,6476,6563,7618,7800,8116,8761,9694,4194,5419,
RUSSIAN FEDERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ On foot.
,Total,,Thousands,10290,16208,17463,15805,18493,21206,21595,23309,22521,22064,22201,22486,22909,23676,21338,22281,24932,28176,30792,32421,33729,..,..,..,..,..,..,
,,Air,Thousands,2040,2194,2977,2685,2225,2466,2496,3140,3475,4090,4135,4426,5097,5532,4787,5590,6383,7537,8045,8198,7646,..,..,..,..,..,..,
,,Water,Thousands,538,573,718,820,787,903,967,945,923,1153,1147,1107,1149,1252,1247,1196,1269,1351,1487,1333,1290,..,..,..,..,..,..,
,,Land,Thousands,7712,13441,13768,12300,15481,17837,18132,19224,18123,16821,16919,16953,16663,16892,15304,15495,17280,19288,21260,22890,24793,..,..,..,..,..,..,
RWANDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Since 2016, including nationals residing abroad."
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,531,610,668,663,666,908,1061,1122,1220,1298,1377,1570,1711,1634,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,72,79,93,99,111,134,124,133,126,171,204,203,242,280,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,459,531,575,563,555,774,938,989,1094,1128,1173,1367,1469,1354,..,..,
SABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,10,"9,8","10,6","10,6","9,2","9,1",9,"10,8","10,3",11,"11,5",11,"11,6",12,12,"12,3",..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,"7,2","7,3","8,1","7,8","6,9","6,2","5,9","7,9","6,8","7,3","7,4","6,9",7,"7,1","7,7",8,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,"2,8","2,5","2,5","2,8","2,3","2,9","3,1","2,9","3,5","3,7","4,1","4,1","4,6","4,9","4,3","4,3",..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SAINT KITTS AND NEVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Yacht and cruise ship arrivals.
,Total,,Thousands,203,172,195,250,226,247,333,240,247,383,365,350,379,533,548,624,723,666,695,814,1031,1051,1190,1273,1107,301,..,
,,Air,Thousands,82,86,92,96,87,76,74,73,95,121,145,144,128,131,92,105,113,109,113,113,118,116,115,125,120,29,..,
,,Water,Thousands,121,86,103,154,139,171,259,167,152,262,220,206,251,402,457,519,610,557,582,701,913,935,1074,1148,987,272,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SAINT LUCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.
,Total,,Thousands,406,422,563,..,..,..,..,..,..,..,..,..,..,296,279,306,312,307,319,338,345,348,386,395,424,131,199,
,,Air,Thousands,221,226,235,..,..,..,..,..,..,..,..,..,..,280,261,290,289,291,303,323,321,320,349,354,378,123,198,
,,Water,Thousands,185,196,328,..,..,..,..,..,..,..,..,..,..,16,18,16,23,16,15,15,24,28,37,41,46,8,2,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SAINT VINCENT AND THE GRENADINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including cruise ship and yacht passengers.
,Total,,Thousands,218,216,200,202,223,256,254,247,241,262,256,306,327,250,271,231,208,200,200,205,207,227,303,356,404,155,57,
,,Air,Thousands,91,88,93,88,86,94,86,90,92,100,104,106,96,90,81,78,78,77,74,73,77,80,77,81,87,27,24,
,,Water,Thousands,127,128,107,114,137,162,168,157,149,162,152,200,231,160,190,153,130,122,126,132,130,147,226,275,317,128,32,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,78,85,88,88,89,92,98,102,116,122,122,129,130,128,135,125,132,139,146,158,172,181,24,3,
,,Air,Thousands,..,..,..,76,81,85,85,86,89,94,99,112,118,118,127,127,125,132,122,129,135,140,154,168,174,21,1,
,,Water,Thousands,..,..,..,2,4,3,3,3,3,4,3,4,4,4,2,3,3,3,3,3,4,6,4,5,7,3,2,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SAN MARINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including Italian visitors. Since 2016, new statistics methodology."
,Total,,Thousands,3368,3345,3308,3264,3148,3071,3036,3102,2882,2812,2107,2136,2164,2112,2056,1976,2038,1869,1905,2004,1888,2000,1937,1874,1904,1015,1354,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,3368,3345,3308,3264,3148,3071,3036,3102,2882,2812,2107,2136,2164,2112,2056,1976,2038,1869,1905,2004,1888,2000,1937,1874,1904,1015,1354,
SAO TOME AND PRINCIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,"6,2","6,4","4,8","5,6","5,8","7,1","7,5","9,2",10,"10,6","15,8","12,3","11,8","14,5","15,2",8,..,..,..,..,"23,6","28,9","29,9","33,4","34,9","10,7","15,1",
,,Air,Thousands,"6,2","6,4","4,8","5,6","5,8","7,1","7,5","9,2",10,"10,6","15,8","11,9",11,"14,2","13,7","7,7",..,..,..,..,"21,2",27,"29,7","32,7","34,9","10,7","15,1",
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,"0,4","0,8","0,3","1,5","0,3",..,..,..,..,"2,4","1,9","0,2","0,7",..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SAUDI ARABIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,4400,..,..,..,..,..,..,..,..,8599,8076,8620,11530,14758,10897,10850,14179,16332,15772,18260,17994,18044,16109,15334,17526,4138,..,
,,Air,Thousands,1834,..,..,..,..,..,..,..,..,4194,4287,4857,7341,9282,5301,7006,8778,10756,10860,12395,11967,13591,12444,11980,14081,3227,..,
,,Water,Thousands,275,..,..,..,..,..,..,..,..,581,488,270,581,1020,289,228,5,1,19,69,48,90,67,75,100,17,..,
,,Land,Thousands,2291,..,..,..,..,..,..,..,..,3824,3301,3493,3608,4456,5307,3616,5396,5575,4893,5797,5979,4364,3597,3279,3344,895,..,
SENEGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ From 2008 estimated data.
,Total,,Thousands,..,..,..,..,..,..,..,..,..,677,779,876,879,877,815,906,977,967,1069,976,1014,1219,1376,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,523,564,522,487,502,469,507,488,466,499,731,767,869,937,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,10,9,10,4,10,5,6,9,5,7,13,8,9,11,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,144,206,344,388,365,341,393,480,496,564,232,240,341,428,..,..,..,..,
SERBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SERBIA AND MONTENEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SEYCHELLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,121,131,130,128,124,130,130,132,122,121,129,141,161,159,157,175,194,208,230,233,276,303,350,362,384,115,183,
,,Air,Thousands,115,126,125,124,121,127,127,129,119,117,125,137,159,156,155,174,193,207,230,232,275,302,348,356,372,108,182,
,,Water,Thousands,6,5,5,4,3,3,3,3,3,4,4,4,2,3,2,1,1,1,1,1,1,1,2,6,12,7,1,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SIERRA LEONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,14,22,8,13,11,16,24,28,38,44,40,34,32,36,37,39,52,60,81,44,24,54,51,57,63,24,40,
,,Air,Thousands,14,22,8,13,11,16,24,28,38,44,40,34,32,36,37,39,52,60,81,44,24,54,51,57,63,24,40,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SINGAPORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding arrivals of Malaysian citizens by land.
,Total,,Thousands,7137,7292,7198,6241,6958,7692,7522,7568,6127,8329,8943,9752,10285,10116,9683,11642,13171,14496,15568,15095,15232,16403,17425,18508,19116,2742,330,
,,Air,Thousands,5384,5463,5362,4687,5142,5658,5404,5394,4232,5728,6267,6758,7172,7234,7228,8845,10142,11109,11852,11693,11831,12652,13548,14330,14877,2114,317,
,,Water,Thousands,816,896,972,830,1018,1157,1197,1177,1028,1332,1364,1571,1538,1322,1154,1266,1328,1464,1518,1543,1603,1676,1761,2057,2212,391,8,
,,Land,Thousands,937,933,864,724,798,877,921,997,867,1269,1312,1423,1575,1560,1301,1531,1701,1923,2198,1858,1798,2075,2116,2121,2028,237,5,
SINT EUSTATIUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,25,24,25,25,25,27,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,20,20,19,19,19,19,20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,5,4,6,6,6,8,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SINT MAARTEN (DUTCH PART),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals at Juliana Airport (including visitors destined to Saint Maarten, French side).
2/ Cruise passengers."
,Total,,Thousands,1024,1022,1325,1339,1061,1300,1271,1436,1600,1823,1956,1890,1891,1821,1655,1956,2080,2210,2253,2502,2407,2197,1640,1775,1952,542,..,
,,Air,Thousands,460,365,439,458,445,432,403,381,428,475,468,468,469,475,440,443,424,457,467,500,505,528,402,178,320,106,..,
,,Water,Thousands,564,657,886,881,616,868,868,1055,1172,1348,1488,1422,1422,1346,1215,1513,1656,1753,1786,2002,1902,1669,1238,1597,1632,436,..,
