Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ The huge margin of difference from 2010 as compared to the previous years is because starting from 2010 the regional high end tourists are included in the total figures.
,Total,,Thousands,5,5,5,6,7,8,6,6,6,9,14,17,21,28,23,41,66,105,116,133,155,210,255,274,316,30,..,
,,Air,Thousands,5,5,5,6,7,8,6,4,5,7,12,14,16,23,19,35,57,60,61,66,86,104,127,142,143,11,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,2,1,3,2,3,5,5,4,6,9,46,56,68,69,106,128,132,173,19,..,
"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by lake.
,Total,,Thousands,283,313,355,387,342,319,316,334,428,480,524,521,573,594,599,679,711,798,798,871,882,961,1109,1142,1239,323,180,
,,Air,Thousands,168,194,245,279,236,233,208,199,222,240,267,242,247,224,226,239,287,292,331,375,410,398,418,415,383,108,127,
,,Water,Thousands,4,5,5,5,5,6,4,2,2,3,1,1,1,1,1,1,1,1,"1,3","1,3",..,..,..,..,..,..,..,
,,Land,Thousands,111,114,105,103,101,80,104,133,204,237,256,278,325,369,372,439,423,505,466,494,471,563,691,727,856,216,53,
BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Cruise passengers only.
,Total,,Thousands,59,65,83,82,76,95,93,94,107,116,103,126,172,250,280,297,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,59,65,63,62,61,51,50,52,62,63,63,64,74,74,67,71,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,20,20,15,44,43,42,45,53,40,62,98,176,213,226,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BOSNIA AND HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data is taken from Cross-border traffic of passengers statistical report for 2015 and includes total arrivals of non-resident passengers at national borders. Passengers in transit are included.
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13432,12972,12731,13120,15057,16133,16919,15208,7387,9772,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,262,290,334,395,432,535,562,570,113,360,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,14,3,3,3,5,7,8,7,11,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13152,12668,12394,12722,14622,15593,16350,14630,7267,9401,
BOTSWANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,521,512,607,750,844,..,1188,1274,1406,1523,..,1426,1736,2101,..,..,..,..,..,2083,1660,1712,1775,1830,..,358,..,
,,Air,Thousands,28,30,34,37,41,..,77,95,71,66,..,68,83,85,..,..,..,..,..,130,129,120,119,129,..,15,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
